X;Y;CODESC;NOMEESC;END_ESC;NUM_ESC;BAIRRO;NOMDIST
-46.641856;-23.709389;35443888;CR P CONV PADRE PIO;DOUTOR ALEXANDRE KALIL YAZBEK;35;PRAIA DO LEBLON;PEDREIRA
-46.635521;-23.712884;35004959;LUIZA MARCELINA BRANCA CHAIB;R ALVARENGA;5110;S PRAIAS;PEDREIRA
-46.634922;-23.713869;35437050;ROSA INES BORNIA MOREIRA PROFESSORA;RUA ALVARENGA;S/N;SETE PRAIAS;PEDREIRA
-46.64449;-23.702894;35056704;CEU CEI ALVARENGA;ESTRADA DO ALVARENGA;3752;BALNEARIO SAO FRANCISCO;PEDREIRA
-46.64449;-23.702894;35056583;CEU EMEI ALVARENGA;ESTRADA DO ALVARENGA;3752;BALNEARIO SAO FRANCISCO;PEDREIRA
-46.64449;-23.702894;35056571;CEU EMEF ALVARENGA;ESTRADA DO ALVARENGA;3752;BALNEARIO SAO FRANCISCO;PEDREIRA
-46.644211;-23.701222;35183842;CR P CONV PINGO DE GENTE;JOSE FLAVIO PEREIRA;200;PARQUE DOROTEIA;PEDREIRA
-46.643547;-23.70135;35039287;AYRES NETO DOUTOR;R JOSE FLAVIO PEREIRA;173;PRQ DOROTEIA;PEDREIRA
-46.642669;-23.700881;35176597;ADVENTUS COLEGIO;R CALANGOS, DOS;141;PRQ DOROTEIA;PEDREIRA
-46.640097;-23.701992;35282480;EMEF ALDO DA TOFORI PE;RUA MIGUEL FLETA;167;PARQUE DOROTEIA;PEDREIRA
-46.640307;-23.700972;35183748;CEI INDIR PARQUE DOROTEIA;RUA FRANCISCO JOSE DA COSTA;70;PARQUE DOROTEIA;PEDREIRA
-46.642947;-23.695655;35388750;CEI INDIR CENTRO DE CONVIVENCIA ITATINGA;DO RETIRO;50;JARDIM SANTA TEREZINHA PEDREIRA;PEDREIRA
-46.642517;-23.69161;35385670;CEI INDIR RICHARD HERNAN MUNOZ CONTRERAS PE;DOUTOR TORRES NETO;162;CIDADE JULIA;CIDADE ADEMAR
-46.638363;-23.698017;35312691;CEI INDIR SANTA TEREZINHA;AVENIDA PROFESSOR CARDOSO DE MELO NETO;1000;JARDIM SANTA TERESINHA;PEDREIRA
-46.636704;-23.701393;35923497;EMANOEL ALVES DE ARAUJO ARTISTA PLASTICO;R PAULINO ALVES ESCUDEIRO;290;GUACURI;PEDREIRA
-46.636552;-23.700981;35914824;PASQUALE FILIPPELLI PADRE;R PAULINO ALVES ESCUDEIRO;240;GUACURI;PEDREIRA
-46.635207;-23.700624;35098553;EMEI RAUL JOVIANO DO AMARAL;RUA VALENTINO FIORAVANTI;128;JARDIM RUBILENE;PEDREIRA
-46.633447;-23.703328;35005058;BENTO PEREIRA DA ROCHA PROFESSOR;R GEORGE BENDA;80;JD RUBILENE;PEDREIRA
-46.635684;-23.697307;35075589;EMEI VIRGILIO TAVORA;RUA JOSE MAURO MENDONCA;93;PARQUE DOROTEIA;PEDREIRA
-46.658961;-23.688423;35098541;EMEF SYLVIO HECK ALM;RUA PEDRO NOGUEIRA DE PAZES;199;JARDIM ITAPURA;PEDREIRA
-46.657475;-23.683128;35923503;DOGIVAL BARROS GOMES PROFESSOR;R ELISIO MENDES GAIA;101;JD S CARLOS;CIDADE ADEMAR
-46.661445;-23.680573;35901775;JOSE CAVALCANTI SILVA DESEMBARGADOR;R GEORGE BERNANOS;71;JD S JORGE;CIDADE ADEMAR
-46.658914;-23.681704;35296223;CR P CONV MONT SINAI;RUA CLAUDIA MUZIO;5;AMERICANOPOLIS;CIDADE ADEMAR
-46.653629;-23.682665;35391281;CR P CONV SANTA CLARA DE ASSIS;BRASIL;171;AMERICANOPOLIS;CIDADE ADEMAR
-46.655464;-23.679651;35464089;EMEI CIDADE ADEMAR III;YERVANT KISSAJIKIAN;2861;AMERICANOPOLIS;CIDADE ADEMAR
-46.653235;-23.69029;35036286;LAURO PEREIRA TRAVASSOS PROFESSOR DOUTOR;R FREI FRANCISCO FERREIRA;128;VL MISSIONARIA;PEDREIRA
-46.653073;-23.689515;35807710;CR P CONV RITA CAVENAGHI IRMA;RUA FREI FRANCISCO FERREIRA;42;VILA MISSIONARIA;PEDREIRA
-46.651998;-23.69114;35071006;VELEIROS CENTRO DE CAPACITACAO PROFISSIONAL;RUA PAPA GREGORIO MAGNO;597;VILA MISSIONARIA;PEDREIRA
